name,Hubraum,Zylinder,Gewicht,Jahr,PS,Verbrauch
buick opel isuzu deluxe,1.82,4,977.49,77,80.0,7.84
renault 5 gtl,1.29,4,827.81,77,58.0,6.53
plymouth arrow gs,2.0,4,1043.26,77,96.0,9.22
datsun f-10 hatchback,1.39,4,882.24,77,70.0,7.02
chevrolet caprice classic,5.0,8,1759.94,77,145.0,13.44
oldsmobile cutlass supreme,4.26,8,1841.58,77,110.0,13.84
dodge monaco brougham,5.21,8,1877.87,77,145.0,15.18
mercury cougar brougham,4.95,8,1948.18,77,130.0,15.68
chevrolet concours,4.1,6,1596.64,77,110.0,13.44
buick skylark,3.79,6,1553.55,77,105.0,11.47
plymouth volare custom,3.69,6,1646.54,77,100.0,12.38
ford granada,4.1,6,1598.91,77,98.0,12.71
pontiac grand prix lj,6.55,8,1914.16,77,180.0,14.7
chevrolet monte carlo landau,5.74,8,1889.21,77,170.0,15.18
chrysler cordoba,6.55,8,1961.79,77,190.0,15.18
ford thunderbird,5.75,8,1966.32,77,149.0,14.7
volkswagen rabbit custom,1.59,4,879.97,77,78.0,8.11
pontiac sunbird coupe,2.47,4,1242.84,77,88.0,9.6
toyota corolla liftback,1.59,4,1027.39,77,75.0,9.05
ford mustang ii 2+2,2.29,4,1249.65,77,89.0,9.22
chevrolet chevette,1.61,4,930.32,77,63.0,7.71
dodge colt m/m,1.61,4,941.2,77,83.0,7.02
subaru dl,1.59,4,900.38,77,67.0,7.84
volkswagen dasher,1.59,4,993.37,77,78.0,7.71
datsun 810,2.39,6,1276.86,77,97.0,10.69
bmw 320i,1.98,4,1179.34,77,110.0,10.94
mazda rx-4,1.31,3,1233.77,77,110.0,10.94
volkswagen rabbit custom diesel,1.47,4,900.38,78,48.0,5.46
ford fiesta,1.61,4,816.47,78,66.0,6.52
mazda glc deluxe,1.28,4,900.38,78,52.0,7.17
datsun b210 gx,1.39,4,938.94,78,70.0,5.97
honda civic cvcc,1.49,4,816.47,78,60.0,6.52
oldsmobile cutlass salon brougham,4.26,8,1526.34,78,110.0,11.82
dodge diplomat,5.21,8,1694.17,78,140.0,12.12
mercury monarch ghia,4.95,8,1619.32,78,139.0,11.64
pontiac phoenix lj,3.79,6,1603.45,78,105.0,12.25
chevrolet malibu,3.28,6,1431.08,78,95.0,11.47
ford fairmont (auto),3.28,6,1344.9,78,85.0,11.64
ford fairmont (man),2.29,4,1233.77,78,88.0,9.37
plymouth volare,3.69,6,1555.82,78,100.0,11.47
amc concord,3.8,6,1456.03,78,90.0,12.12
buick century special,3.79,6,1533.14,78,105.0,11.42
mercury zephyr,3.28,6,1392.53,78,85.0,11.31
dodge aspen,3.69,6,1642.0,78,110.0,12.65
amc concord d/l,4.23,6,1546.75,78,120.0,13.0
chevrolet monte carlo landau,5.0,8,1553.55,78,145.0,12.25
buick regal sport coupe (turbo),3.79,6,1562.62,78,165.0,13.29
ford futura,4.95,8,1453.76,78,139.0,13.0
dodge magnum xe,5.21,8,1850.66,78,140.0,13.44
chevrolet chevette,1.61,4,977.49,78,68.0,7.84
toyota corona,2.2,4,1161.2,78,95.0,8.55
datsun 510,1.95,4,1043.26,78,97.0,8.65
dodge omni,1.72,4,1011.51,78,75.0,7.61
toyota celica gt liftback,2.2,4,1140.78,78,95.0,11.15
plymouth sapporo,2.56,4,1245.11,78,105.0,10.14
oldsmobile starfire sx,2.47,4,1295.01,78,85.0,9.88
datsun 200-sx,1.95,4,1090.89,78,97.0,9.84
audi 5000,2.15,5,1283.67,78,103.0,11.59
volvo 264gl,2.67,6,1424.28,78,125.0,13.84
saab 99gle,1.98,4,1267.79,78,115.0,10.89
peugeot 604sl,2.67,6,1546.75,78,133.0,14.52
volkswagen scirocco,1.46,4,902.65,78,71.0,7.47
honda accord lx,1.61,4,968.42,78,68.0,7.97
pontiac lemans v6,3.79,6,1471.91,79,115.0,10.94
mercury zephyr 6,3.28,6,1356.24,79,85.0,11.88
ford fairmont 4,2.29,4,1310.88,79,88.0,10.55
amc concord dl 6,3.8,6,1480.98,79,90.0,11.64
dodge aspen 6,3.69,6,1524.07,79,110.0,11.42
chevrolet caprice classic,5.0,8,1741.79,79,130.0,13.84
ford ltd landau,4.95,8,1689.63,79,129.0,13.36
mercury grand marquis,5.75,8,1793.96,79,138.0,14.26
dodge st. regis,5.21,8,1737.26,79,135.0,12.92
buick estate wagon (sw),5.74,8,1977.66,79,155.0,13.92
ford country squire (sw),5.75,8,1838.86,79,142.0,15.18
chevrolet malibu classic (sw),4.38,8,1635.2,79,125.0,12.25
chrysler lebaron town @ country (sw),5.9,8,1787.15,79,150.0,12.71
vw rabbit custom,1.46,4,873.16,79,71.0,7.37
maxda glc deluxe,1.41,4,895.84,79,65.0,6.9
dodge colt hatchback custom,1.61,4,868.63,79,80.0,6.59
amc spirit dl,1.98,4,1211.09,79,80.0,8.58
mercedes benz 300d,3.0,5,1601.18,79,77.0,9.26
cadillac eldorado,5.74,8,1769.01,79,125.0,10.23
peugeot 504,2.31,4,1446.96,79,71.0,8.65
oldsmobile cutlass salon brougham,4.26,8,1551.28,79,90.0,9.84
plymouth horizon,1.72,4,997.9,79,70.0,6.88
plymouth horizon tc3,1.72,4,975.22,79,70.0,6.82
datsun 210,1.39,4,916.26,79,65.0,7.4
fiat strada custom,1.49,4,966.15,79,69.0,6.31
buick skylark limited,2.47,4,1211.09,79,90.0,8.28
chevrolet citation,2.83,6,1177.07,79,115.0,8.17
oldsmobile omega brougham,2.83,6,1224.7,79,115.0,8.78
pontiac phoenix,2.47,4,1159.38,79,90.0,7.02
vw rabbit,1.61,4,972.5,80,76.0,5.67
toyota corolla tercel,1.46,4,892.67,80,60.0,6.17
chevrolet chevette,1.61,4,961.62,80,70.0,7.33
datsun 310,1.41,4,915.8,80,65.0,6.32
chevrolet citation,2.47,4,1214.72,80,90.0,8.4
ford fairmont,2.29,4,1301.81,80,88.0,8.91
amc concord,2.47,4,1362.14,80,90.0,9.68
dodge aspen,3.69,6,1533.59,80,90.0,12.31
audi 4000,1.59,4,992.46,80,78.0,6.86
toyota corona liftback,2.2,4,1229.69,80,90.0,7.89
mazda 626,1.97,4,1153.03,80,75.0,7.51
datsun 510 hatchback,1.95,4,1104.04,80,92.0,6.36
toyota corolla,1.77,4,1027.39,80,75.0,7.3
mazda glc,1.41,4,957.08,80,65.0,5.05
dodge colt,2.56,4,1270.06,80,105.0,8.43
datsun 210,1.39,4,957.08,80,65.0,5.77
vw rabbit c (diesel),1.47,4,945.74,80,48.0,5.31
vw dasher (diesel),1.47,4,1059.14,80,48.0,5.42
audi 5000s (diesel),1.98,5,1338.1,80,67.0,6.46
mercedes-benz 240d,2.39,4,1474.17,80,67.0,7.84
honda civic 1500 gl,1.49,4,839.15,80,67.0,5.27
subaru dl,1.59,4,972.95,80,67.0,6.96
vokswagen rabbit,1.46,4,836.88,80,62.0,7.89
datsun 280-zx,2.75,6,1319.95,80,132.0,7.19
mazda rx-7 gs,1.15,3,1097.69,80,100.0,9.92
triumph tr7 coupe,2.0,4,1133.98,80,88.0,6.72
honda accord,1.75,4,1038.73,80,72.0,7.26
plymouth reliant,2.21,4,1129.44,81,84.0,8.65
buick skylark,2.47,4,1195.21,81,84.0,8.84
dodge aries wagon (sw),2.56,4,1188.41,81,92.0,9.12
chevrolet citation,2.83,6,1236.04,81,110.0,10.01
plymouth reliant,2.21,4,1081.82,81,84.0,7.84
toyota starlet,1.29,4,796.05,81,58.0,6.02
plymouth champ,1.41,4,850.48,81,64.0,6.03
honda civic 1300,1.33,4,798.32,81,60.0,6.7
subaru,1.59,4,936.67,81,67.0,7.28
datsun 210 mpg,1.39,4,895.84,81,65.0,6.36
toyota tercel,1.46,4,929.86,81,62.0,6.24
mazda glc 4,1.49,4,900.38,81,68.0,6.9
plymouth horizon 4,1.72,4,1004.71,81,63.0,6.78
ford escort 4w,1.61,4,927.6,81,65.0,6.84
ford escort 2h,1.61,4,1079.55,81,65.0,7.87
volkswagen jetta,1.72,4,993.37,81,74.0,7.13
honda prelude,1.75,4,1002.44,81,75.0,6.98
toyota corolla,1.77,4,1065.94,81,75.0,7.26
datsun 200sx,1.95,4,1186.14,81,100.0,7.15
mazda 626,1.97,4,1195.21,81,74.0,7.44
peugeot 505s turbo diesel,2.31,4,1465.1,81,80.0,8.37
volvo diesel,2.38,6,1433.35,81,76.0,7.66
toyota cressida,2.75,6,1315.42,81,116.0,9.26
datsun 810 maxima,2.39,6,1329.02,81,120.0,9.72
buick century,3.79,6,1549.02,81,110.0,10.5
oldsmobile cutlass ls,5.74,8,1689.63,81,105.0,8.84
ford granada gl,3.28,6,1387.99,81,88.0,11.64
chrysler lebaron salon,3.69,6,1571.7,81,85.0,13.36
chevrolet cavalier,1.84,4,1181.61,82,88.0,8.4
chevrolet cavalier wagon,1.84,4,1197.48,82,88.0,8.71
chevrolet cavalier 2-door,1.84,4,1086.35,82,88.0,6.92
pontiac j2000 se hatchback,1.84,4,1168.0,82,85.0,7.59
dodge aries se,2.21,4,1145.32,82,84.0,8.11
pontiac phoenix,2.47,4,1240.57,82,90.0,8.71
ford fairmont futura,2.29,4,1299.54,82,92.0,9.8
volkswagen rabbit l,1.72,4,898.11,82,74.0,6.53
mazda glc custom l,1.49,4,918.52,82,68.0,6.36
mazda glc custom,1.49,4,893.58,82,68.0,7.59
plymouth horizon miser,1.72,4,963.88,82,63.0,6.19
mercury lynx l,1.61,4,963.88,82,70.0,6.53
nissan stanza xe,1.97,4,979.76,82,88.0,6.53
honda accord,1.75,4,1000.17,82,75.0,6.53
toyota corolla,1.77,4,1018.31,82,70.0,6.92
honda civic,1.49,4,891.31,82,67.0,6.19
honda civic (auto),1.49,4,891.31,82,67.0,7.35
datsun 310 gx,1.49,4,904.92,82,67.0,6.19
buick century limited,2.97,6,1335.83,82,110.0,9.41
oldsmobile cutlass ciera (diesel),4.29,6,1367.58,82,85.0,6.19
chrysler lebaron medallion,2.56,4,1172.54,82,92.0,9.05
ford granada l,3.8,6,1285.93,82,112.0,10.69
toyota celica gt,2.36,4,1208.82,82,96.0,7.35
dodge charger 2.2,2.21,4,1075.01,82,84.0,6.53
chevrolet camaro,2.47,4,1338.1,82,90.0,8.71
ford mustang gl,2.29,4,1265.52,82,86.0,8.71
vw pickup,1.59,4,966.15,82,52.0,5.35
dodge rampage,2.21,4,1040.99,82,84.0,7.35
ford ranger,1.97,4,1190.68,82,79.0,8.4
chevy s-10,1.95,4,1233.77,82,82.0,7.59
